RedFighter,BlueFighter,Result
Henry Cejudo,Song Yadong,1
Brendan Allen,Anthony Hernandez,1
Rob Font,Jean Matsumoto,1
Jean Silva,Melsik Baghdasaryan,1
Alonzo Menifield,Julius Walker,1
Ion Cutelaba,Ibo Aslan,1
Andre Fili,Melquizael Costa,1
Mansur Abdul-Malik,Nick Klein,1
Ricky Simon,Javid Basharat,1
Nikolay Veretennikov,Austin Vanderford,1
Nursulton Ruziboev,Eric Mcconico,1
Modestas Bukauskas,Rafael Cerqueira,1
