RedFighter,BlueFighter,Result
Jared Cannonier,Gregory Rodrigues,1
Calvin Kattar,Youssef Zalal,1
Edmen Shahbazyan,Dylan Budka,1
Ismael Bonfim,Nazim Sadykhov,1
Rodolfo Vieira,Andre Petroski,0
Connor Matthews,Jose Delgado,0
Angela Hill,Ketlen Souza,1
Rafael Estevam,Jesus Aguilar,1
Gabriel Bonfim,Khaos Williams,0
Vince Morales,Elijah Smith,1
Don'Tale Mayes,Valter Walker,1
Julia Avila,Jacqueline Cavalcanti,0
