RedFighter,BlueFighter,Result
Islam Makhachev,Renato Moicano,1
Merab Dvalishvili,Umar Nurmagomedov,1
Jiri Prochazka,Jamahal Hill,1
Jailton Almeida,Serghei Spivac,1
Kevin Holland,Reinier De Ridder,1
Payton Talbott,Raoni Barcelos,0
Zachary Reese,Azamat Bekoev,0
Bogdan Guskov,Billy Elekana,1
Grant Dawson,Diego Ferreira,1
Karol Rosa,Ailin Perez,1
Rinya Nakamura,Muin Gafurov,0
Ricky Turcios,Benardo Sopaj,1
Tagir Ulanbekov,Clayton Carpenter,1
