RedFighter,BlueFighter,Result
Dricus Du Plessis,Sean Strickland,0
Zhang Weili,Tatiana Suarez,1
Justin Tafa,Tallison Teixeira,1
Jimmy Crute,Rodolfo Bellato,0
Jake Matthews,Francisco Prado,1
Jack Jenkins,Gabriel Santos,1
Tom Nolan,Viacheslav Borshchev,0
Wang Cong,Bruna Brasil,0
Colby Thicknesse,Aleksandre Topuria,0
Rongzhu,Kody Steele,1
Jonathan Micallef,Kevin Jousset,0
Quillan Salkilld,Anshul Jubli,1
Hyunsung Park,Nyamjargal Tumendemberel,1
